,has_issues,stargazers_count,forks,size,has_downloads,archived,has_projects,has_wiki,open_issues_count,has_pages
918,1,16037,6.591613832848847,-0.2521302153668517,1,0,1,1,-0.2951350291028211,0
197,1,36092,-0.4552549985549758,-0.09030615827853354,1,0,1,1,-0.05972105498727937,1
38,1,77577,2.9403665471488356,2.2946774022965273,1,0,1,0,2.3347485701799635,0
981,1,15465,-0.2953066998637293,0.3033170497150207,1,0,1,1,2.006482072409288,1
286,1,29671,0.062754860255366,0.5550608054330725,1,0,0,0,-0.304514071896269,0
581,1,20659,-0.13867133196559067,0.7100885288733678,1,0,1,1,0.9475881410290228,0
149,1,41215,-0.1301902291352346,-0.31477942565479283,1,0,0,0,-0.41424887257960913,0
788,1,17463,-0.4176201047452708,-0.27587480626008104,1,0,1,1,-0.2669979007224775,0
588,1,20601,0.06487513596295501,-0.2842864000977475,1,0,1,1,-0.35234719014285315,0
682,1,19031,-0.6136130904655306,-0.2836690354124142,1,0,0,0,-0.34203024307006047,0
807,1,17242,-0.05651064829651623,-0.06978144354587884,1,0,1,1,1.7147938415330592,0
994,1,15286,-0.6402490540421176,0.21476779424453998,1,0,1,0,0.3032479011191535,0
450,1,23645,-0.32949614564860225,-0.22663731155007066,1,0,1,1,-0.4180004896969883,0
953,1,15678,-0.030272236415102145,-0.31711050955286174,1,0,1,1,-0.29982455049954504,0
745,1,18077,-0.6214316071372651,-0.3152903481529997,1,0,0,0,-0.4170625854176435,1
180,1,37780,0.5416721357070353,-0.21739812970749617,1,0,1,1,-0.3270237746005439,0
506,1,22169,-0.5963858503413698,-0.31600084975206866,1,0,0,0,-0.42081420253502266,0
406,1,24669,0.3996136632985711,-0.19351782502568063,1,0,1,1,-0.17789699418472263,1
825,1,16954,-0.402513140328699,0.9484870953804428,0,0,0,1,0.16350016349678012,0
787,1,17491,-0.6014215051468937,-0.30669248048786196,1,0,1,1,-0.38329803136123114,1
568,1,20828,-0.6067221944158663,-0.24769955932771387,1,0,0,0,-0.08223075769155427,0
73,1,55316,3.6738494247429117,0.0435768246890956,1,0,1,1,0.03688308578523377,1
366,1,25956,-0.6283225031869294,-0.277577881254104,1,0,0,0,-0.06441057638400331,0
228,1,32887,-0.22281977411052978,-0.12376625980172819,1,0,1,1,-0.3279616788798887,0
136,1,43273,0.32752428924054455,-0.27795575101840286,1,0,0,0,-0.36829156289171455,0
499,1,22415,-0.5352954065164612,-0.3082199258731263,1,0,1,1,-0.20134460116834232,0
536,1,21456,-0.1418517455269742,-0.17029213979469265,1,0,1,1,0.1484936950272635,0
592,1,20535,-0.4180176564404437,-0.2700364522961961,1,0,1,1,-0.15257357864241336,0
309,1,28168,-0.510249649720566,17.109702825810064,1,0,1,1,-0.23041963382803074,1
87,1,52982,1.3826264882295294,-0.31261598820144804,1,0,1,1,-0.3729810842884385,0
814,1,17089,-0.3114738021340956,-0.309505215282678,1,0,1,1,-0.4180004896969883,1
734,1,18207,-0.4539298262377327,-0.3158811022915514,1,0,1,1,-0.38329803136123114,0
255,1,31231,-0.039813477099252724,-0.07704878387193614,1,0,1,1,-0.19759298405096318,1
593,1,20530,-0.33863983463757985,0.16723869663790888,1,0,0,0,-0.31576892324840644,0
762,1,17815,-0.6772213616932011,-0.2953750149416438,1,0,0,0,0.080026682635094,0
107,1,49069,1.7698418393279738,-0.06613579863679846,1,0,1,0,1.728862405723231,0
848,1,16737,-0.5011059607315883,-0.2810425744450694,1,0,0,0,-0.38423593564057595,0
51,1,67963,2.445149652195076,-0.2781500080099086,1,0,1,1,0.4898908527087663,1
935,1,15867,-0.5274768898447267,-0.2411640090381508,1,0,1,1,-0.3692294671710593,1
911,1,16116,-0.5741229554116851,-0.31255212288917217,1,0,1,1,-0.25855676220837437,1
770,1,17738,-0.1019640587779558,0.052800040203601135,1,0,1,0,0.046262128578681644,1
379,1,25381,-0.12091402291453264,3.6895836372057023,1,0,1,1,-0.304514071896269,0
554,1,21054,-0.037693201391663704,-0.18930537547015197,1,0,0,0,-0.2022825054476871,1
665,1,19559,-0.5171405457702303,-0.29873326594548283,1,0,1,0,-0.1657042385532404,1
547,1,21231,-0.13973146981938517,1.5625414286941302,1,0,1,1,-0.19384136693358403,1
634,1,19952,-0.09043505961794052,-0.25212755431217354,1,0,1,1,-0.2904455077060972,0
670,1,19440,-0.38157541771625747,-0.24823177026334606,1,0,1,1,-0.286693890588718,0
751,1,17978,-0.26244242639609955,-0.3072858956810918,1,0,0,0,-0.2257301124313068,1
574,1,20743,-0.5387408545412934,0.3598165626417321,1,0,1,1,0.8659904687260263,1
999,1,15233,-0.5115748220378091,-0.30916726133855155,1,0,1,1,-0.3692294671710593,1
387,1,25160,-0.03756068415993939,-0.31820154197090766,1,0,1,1,-0.40486982978616126,0
560,1,20987,-0.3933694513397214,-0.30708897763490794,1,0,0,0,-0.39924240411009254,0
570,1,20799,-0.555040474043384,-0.31133069879189634,1,0,1,0,-0.33734072167333656,1
